         x          y        psi
    0.2637     0.2637     0.2637
    0.2636     0.2637     0.2636
    0.2636     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2636     0.2637     0.2637
    0.2636     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2636     0.2637     0.2637
    0.2637     0.2637     0.2636
    0.2636     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2636
    0.2636     0.2636     0.2636
    0.2636     0.2637     0.2637
    0.2636     0.2637     0.2637
    0.2636     0.2636     0.2636
    0.2637     0.2637     0.2636
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2636     0.2637
    0.2637     0.2637     0.2636
    0.2636     0.2637     0.2637
    0.2636     0.2637     0.2636
    0.2637     0.2637     0.2637
    0.2636     0.2636     0.2637
    0.2637     0.2636     0.2637
    0.2637     0.2636     0.2636
    0.2637     0.2637     0.2637
    0.2637     0.2636     0.2637
    0.2637     0.2637     0.2637
    0.2637     0.2637     0.2636
    0.2637     0.2637     0.2636
    0.2636     0.2637     0.2636
    0.2637     0.2637     0.2636
    0.2634     0.2632     0.2631
    0.2636     0.2641     0.2641
    0.2644     0.2653     0.2664
    0.2668     0.2717     0.2739
    0.2758     0.2777     0.2806
    0.2853     0.2865     0.2940
    0.2972     0.3047     0.3094
    0.3157     0.3192     0.3272
    0.3272     0.3297     0.3296
    0.3293     0.3294     0.3293
    0.3293     0.3293     0.3293
    0.3293     0.3293     0.3293
    0.3294     0.3292     0.3292
    0.3292     0.3292     0.3293
    0.3292     0.3291     0.3293
    0.3294     0.3300     0.3309
    0.3319     0.3332     0.3346
    0.3346     0.3350     0.3352
    0.3348     0.3340     0.3335
    0.3328     0.3320     0.3297
    0.3291     0.3257     0.3251
    0.3251     0.3249     0.3251
    0.3260     0.3269     0.3275
    0.3291     0.3303     0.3309
    0.3326     0.3329     0.3349
    0.3377     0.3389     0.3418
    0.3445     0.3479     0.3497
    0.3519     0.3544     0.3550
    0.3572     0.3624     0.3624
    0.3674     0.3685     0.3721
    0.3757     0.3763     0.3818
    0.3823     0.3861     0.3881
    0.3904     0.3908     0.3933
    0.3943     0.3967     0.4029
    0.4039     0.4073     0.4084
    0.4133     0.4139     0.4150
    0.4173     0.4189     0.4213
    0.4252     0.4274     0.4301
    0.4353     0.4389     0.4447
    0.4515     0.4515     0.4567
    0.4624     0.4665     0.4679
    0.4679     0.4762     0.4813
    0.4854     0.4897     0.4938
    0.4978     0.5025     0.5037
    0.5074     0.5143     0.5237
    0.5296     0.5366     0.5410
    0.5448     0.5466     0.5482
    0.5486     0.5488     0.5498
    0.5527     0.5531     0.5541
    0.5562     0.5582     0.5603
    0.5656     0.5643     0.5631
    0.5586     0.5586     0.5497
    0.5407     0.5387     0.5169
    0.5016     0.4917     0.4841
    0.4807     0.4765     0.4527
    0.4466     0.4352     0.4237
    0.4075     0.4075     0.3982
    0.3873     0.3849     0.3728
    0.3728     0.3466     0.3340
    0.3256     0.3219     0.3161
    0.2997     0.2872     0.2811
    0.2711     0.2590     0.2478
    0.2397     0.2223     0.2144
    0.2083     0.2010     0.1909
    0.1816     0.1799     0.1655
    0.1496     0.1411     0.1265
    0.1193     0.1177     0.1177
    0.1178     0.1181     0.1174
    0.1176     0.1176     0.1158
    0.1153     0.1134     0.1121
    0.1111     0.1113     0.1114
    0.1113     0.1113     0.1132
    0.1138     0.1142     0.1150
    0.1170     0.1190     0.1206
    0.1218     0.1243     0.1258
    0.1271     0.1288     0.1307
    0.1325     0.1341     0.1341
    0.1379     0.1380     0.1389
    0.1389     0.1406     0.1411
    0.1422     0.1436     0.1447
    0.1463     0.1493     0.1493
    0.1525     0.1525     0.1533
    0.1561     0.1561     0.1599
    0.1629     0.1647     0.1664
    0.1694     0.1736     0.1755
    0.1788     0.1819     0.1850
    0.1881     0.1885     0.1908
    0.1932     0.1949     0.1957
    0.1960     0.1959     0.1959
    0.1963     0.1971     0.1980
    0.1984     0.1997     0.1995
    0.1995     0.1995     0.1995
    0.1994     0.1994     0.1994
    0.1994     0.2000     0.2000
    0.2026     0.2041     0.2041
    0.2057     0.2066     0.2083
    0.2095     0.2090     0.2089
    0.2089     0.2087     0.2043
    0.2043     0.1981     0.1907
    0.1818     0.1627     0.1627
    0.1398     0.1297     0.1217
    0.1165     0.0948     0.0872
    0.0825     0.0675     0.0537
    0.0450     0.0329     0.0190
    0.0082    -0.0002    -0.0067
   -0.0152    -0.0244    -0.0244
   -0.0355    -0.0475    -0.0552
   -0.0676    -0.0746    -0.0784
   -0.0867    -0.0867    -0.0959
   -0.1018    -0.1070    -0.1122
   -0.1173    -0.1221    -0.1318
   -0.1328    -0.1342    -0.1341
   -0.1320    -0.1307    -0.1301
   -0.1289    -0.1268    -0.1265
   -0.1240    -0.1219    -0.1216
   -0.1197    -0.1182    -0.1176
   -0.1177    -0.1176    -0.1175
   -0.1221    -0.1284    -0.1377
   -0.1377    -0.1397    -0.1461
   -0.1649    -0.1745    -0.1846
   -0.2051    -0.2180    -0.2260
   -0.2367    -0.2498    -0.2661
   -0.2758    -0.2882    -0.3045
   -0.3312    -0.3494    -0.3618
   -0.3618    -0.3775    -0.3829
   -0.3933    -0.4087    -0.4172
   -0.4391    -0.4506    -0.4623
   -0.4742    -0.4914    -0.5001
   -0.5113    -0.5232    -0.5378
   -0.5518    -0.5584    -0.5904
   -0.5962    -0.6164    -0.6275
   -0.6275    -0.6303    -0.6292
